building_type,area_sqm,floors,location,quality_grade,foundation_type,roof_type,has_basement,has_elevator,has_parking,labor_rate,material_cost_index,total_cost
Industrial,894.3140820502579,30,Rural,Premium,Concrete,Dome,1,1,0,28.967784502949996,1.078103905062134,2726558.9690497485
Residential,5292.662756745522,14,Suburban,Premium,Slab,Dome,0,1,0,32.32449186702283,1.0357933910130068,9034108.48325527
Industrial,4162.928587197649,6,Suburban,Luxury,Pile,Pitched,1,1,0,26.530993965716974,1.1986376716956144,8310335.626634092
Industrial,9825.548307395204,3,Suburban,Standard,Concrete,Pitched,1,1,1,48.98064377390625,1.402779464042998,11100418.254946344
Residential,1209.1851314637183,16,Suburban,Standard,Concrete,Flat,0,0,0,23.919031446720794,0.8548367524334047,1245717.4339653028
Residential,4038.7704305528423,7,Urban,Luxury,Concrete,Pitched,1,0,0,31.155103536992584,0.8508023586312976,6052528.142069089
Industrial,9697.757289426152,14,Rural,Premium,Pile,Flat,1,0,1,20.775169166600335,1.3952223957103191,20402072.018935107
Commercial,8668.520546350404,9,Suburban,Luxury,Slab,Dome,0,1,1,26.653384758006393,0.9489950602268502,19284356.25653848
Industrial,8189.013502397871,15,Urban,Luxury,Concrete,Dome,1,0,1,43.414134151404646,1.2681272781148696,39545603.95371187
Industrial,2653.2379877449043,21,Rural,Premium,Slab,Pitched,1,1,0,26.035256968666385,1.1800146926525636,7051893.639291222
Industrial,1791.7871151616516,35,Rural,Luxury,Slab,Dome,1,0,1,22.401902075868968,1.3830255164210605,9593913.897879174
Industrial,6719.567877251867,2,Urban,Luxury,Pile,Dome,1,1,0,34.2335953953357,0.8875622368854825,9616445.673570242
Residential,9300.8222923631,27,Urban,Luxury,Concrete,Pitched,1,0,1,20.299077042035556,0.8908480760058279,44569736.98482345
Industrial,5611.952640837905,2,Suburban,Premium,Slab,Flat,1,0,1,22.542984632789995,1.1897728521948152,7742216.069215547
Commercial,5758.965625752008,35,Rural,Standard,Concrete,Pitched,0,1,1,44.228776086889255,1.4624650573508595,18390394.798386957
Residential,2871.7930272368135,18,Rural,Standard,Concrete,Flat,1,1,0,43.14420034578819,1.090498430859528,4234714.255225376
Commercial,7717.980038600175,14,Urban,Premium,Pile,Pitched,1,1,0,47.45416461214688,1.0288594701782865,23920347.24484212
Commercial,1951.7331107194814,20,Rural,Standard,Concrete,Pitched,0,1,0,45.635463077322484,1.2246825262385201,4147762.798450406
Commercial,3304.4244404020124,18,Suburban,Luxury,Concrete,Dome,0,1,0,40.49526689719454,1.4513140203815218,17686622.240031827
Commercial,4311.820742302526,10,Rural,Standard,Slab,Pitched,1,0,0,21.569985719019886,1.3858494829912367,7299070.921834275
Residential,5125.342748976104,25,Urban,Luxury,Pile,Pitched,0,1,0,43.485458539599726,1.4968385275132539,29339674.063798413
Residential,2499.856350909294,2,Urban,Standard,Concrete,Flat,1,0,0,45.36532432521682,0.815798008241664,1502385.068975829
Commercial,1236.884564918115,25,Suburban,Premium,Slab,Dome,1,0,0,43.97246437315863,0.8790007012989336,4369544.372964624
Commercial,6145.138420172163,33,Suburban,Standard,Pile,Flat,0,0,0,35.25437105924078,1.2266274343566355,16027358.189105587
Residential,2957.442477078532,36,Rural,Standard,Pile,Flat,1,0,1,26.98705515948445,1.3744035075336947,7973202.830333934
Residential,5854.2583920838615,31,Rural,Standard,Slab,Dome,1,0,1,45.3598992706618,0.9996710396147366,9874734.096231587
Residential,1628.1908812146028,14,Urban,Premium,Slab,Dome,0,1,0,41.814884292204155,0.9674477616239532,3744420.1616803566
