building_type,area_sqm,floors,location,foundation_type,roof_type,has_basement,has_parking,labor_rate,total_cost
Commercial,14814,5,Urban,Concrete,Flat,0,1,10400,50000000
Commercial,14598,13,Suburban,Slab,Flat,1,1,13100,50000000
Commercial,6078,11,Rural,Concrete,Pitched,1,1,11400,50000000
Commercial,6095,11,Urban,Slab,Flat,1,1,3000,50000000
Residential,14527,19,Urban,Concrete,Pitched,0,0,4100,50000000
Residential,7424,9,Suburban,Slab,Pitched,0,1,5400,50000000
Residential,13949,6,Suburban,Concrete,Dome,0,1,3100,50000000
Residential,4179,1,Urban,Slab,Flat,0,1,4200,7301706
Commercial,10783,6,Suburban,Slab,Dome,0,1,3700,50000000
Residential,13199,4,Rural,Pile,Flat,0,1,6700,50000000
Industrial,2185,19,Rural,Slab,Dome,0,0,11400,50000000
Commercial,12724,5,Urban,Slab,Pitched,0,1,6800,50000000
Commercial,11674,12,Rural,Slab,Dome,1,1,14800,50000000
Industrial,14119,15,Urban,Slab,Dome,0,1,13100,50000000
Residential,7064,18,Urban,Pile,Dome,1,1,4200,50000000
Industrial,5092,20,Suburban,Concrete,Pitched,0,1,3600,50000000
Industrial,1050,20,Suburban,Pile,Pitched,1,0,13500,50000000
Residential,8502,5,Rural,Concrete,Flat,0,0,14200,50000000
Residential,11616,6,Suburban,Slab,Dome,0,0,6300,50000000
Residential,4388,11,Suburban,Slab,Pitched,0,0,14900,50000000
Industrial,2283,20,Suburban,Concrete,Dome,0,1,9400,50000000
Residential,2559,15,Rural,Concrete,Flat,0,0,4600,50000000
Industrial,2534,1,Urban,Pile,Flat,0,1,7400,7893047
Industrial,6564,16,Rural,Pile,Dome,1,1,8500,50000000
Residential,844,4,Urban,Slab,Dome,1,0,8900,11384331
Industrial,11180,10,Suburban,Pile,Pitched,0,1,11300,50000000
Residential,3901,16,Suburban,Concrete,Flat,0,1,6400,50000000
Residential,3689,12,Rural,Pile,Dome,1,0,13200,50000000
Industrial,4185,6,Rural,Slab,Dome,0,1,15000,50000000
Industrial,14767,7,Urban,Slab,Pitched,0,1,8600,50000000
Industrial,7200,9,Suburban,Concrete,Flat,1,1,14000,50000000
Commercial,7124,12,Urban,Slab,Flat,0,1,3900,50000000
Industrial,1868,17,Suburban,Slab,Flat,0,1,5900,50000000
Commercial,6030,6,Urban,Pile,Dome,0,0,5800,50000000
Residential,12259,9,Rural,Slab,Flat,0,1,3600,50000000
Residential,12141,9,Suburban,Pile,Pitched,0,1,3400,50000000
Commercial,5678,2,Suburban,Pile,Dome,1,1,3300,29279787
Commercial,2517,2,Rural,Concrete,Flat,0,0,12500,14899894
Industrial,7405,19,Rural,Slab,Flat,1,1,9200,50000000
Industrial,12259,3,Suburban,Concrete,Flat,1,1,13600,50000000
Commercial,10142,10,Suburban,Concrete,Dome,1,1,10300,50000000
Residential,7885,20,Suburban,Slab,Flat,1,1,14600,50000000
Residential,5668,15,Rural,Pile,Pitched,1,1,13000,50000000
Industrial,2755,4,Urban,Slab,Flat,0,1,7000,23983431
Industrial,1508,17,Suburban,Pile,Pitched,1,1,3700,41616342
Industrial,7254,6,Rural,Concrete,Flat,1,1,8900,50000000
Residential,3473,1,Suburban,Slab,Dome,0,1,4800,8714372
Residential,10250,11,Rural,Pile,Pitched,0,1,10000,50000000
Industrial,12238,11,Urban,Slab,Dome,1,0,7800,50000000
Industrial,9757,7,Rural,Pile,Flat,0,1,14600,50000000
Commercial,2545,6,Urban,Concrete,Dome,0,1,12200,50000000
Residential,8224,17,Suburban,Slab,Pitched,1,0,11700,50000000
Residential,616,15,Rural,Concrete,Dome,0,1,11700,24842175
Commercial,2502,1,Urban,Concrete,Dome,0,1,13000,12091791
Residential,6956,3,Suburban,Concrete,Dome,0,1,9900,50000000
Industrial,10410,20,Rural,Slab,Flat,0,0,11500,50000000
Residential,10627,9,Rural,Concrete,Dome,0,0,5900,50000000
Commercial,760,18,Rural,Slab,Pitched,0,1,12300,47297357
Residential,8242,13,Urban,Pile,Dome,1,0,5200,50000000
Commercial,6808,14,Rural,Slab,Flat,0,1,7300,50000000
Industrial,7378,6,Rural,Pile,Flat,0,0,8100,50000000
Industrial,5113,16,Suburban,Pile,Pitched,0,1,9300,50000000
Industrial,5982,6,Rural,Concrete,Pitched,0,0,9900,50000000
Commercial,11661,14,Urban,Pile,Dome,0,1,3500,50000000
Industrial,5456,8,Suburban,Slab,Pitched,1,0,9800,50000000
Residential,7668,20,Urban,Concrete,Dome,0,0,8800,50000000
Commercial,12040,8,Urban,Slab,Flat,0,1,4900,50000000
Industrial,4387,15,Suburban,Concrete,Pitched,1,0,9700,50000000
Residential,12336,4,Suburban,Concrete,Flat,1,1,6100,50000000
Residential,6084,4,Rural,Concrete,Dome,0,1,8000,46559806
Commercial,4208,11,Urban,Pile,Dome,1,1,4400,50000000
Residential,4661,19,Urban,Concrete,Dome,1,0,10000,50000000
Industrial,5018,1,Rural,Slab,Dome,1,1,3700,14295045
Commercial,12920,2,Suburban,Concrete,Flat,0,1,14100,50000000
Commercial,9595,18,Rural,Slab,Pitched,1,1,12700,50000000
Residential,11695,15,Urban,Slab,Pitched,1,1,12400,50000000
Residential,9256,9,Suburban,Slab,Dome,0,1,12100,50000000
Residential,13814,16,Urban,Pile,Pitched,1,1,5200,50000000
Commercial,5148,4,Urban,Pile,Pitched,0,1,8900,50000000
Commercial,8726,11,Urban,Concrete,Flat,1,0,14000,50000000
Residential,9377,2,Suburban,Concrete,Flat,1,0,4000,46772776
Commercial,12458,16,Suburban,Slab,Flat,1,0,10500,50000000
Residential,8941,14,Rural,Slab,Pitched,0,0,4500,50000000
Residential,8376,7,Rural,Pile,Dome,0,1,13700,50000000
Residential,1548,7,Urban,Pile,Flat,1,0,7300,26377875
Industrial,13225,20,Suburban,Pile,Dome,0,0,4100,50000000
Residential,3833,16,Urban,Concrete,Pitched,1,1,6800,50000000
Industrial,14785,15,Rural,Slab,Pitched,0,1,14200,50000000
Industrial,13784,14,Rural,Pile,Flat,1,1,5000,50000000
Commercial,1942,7,Urban,Concrete,Dome,0,1,11100,50000000
Residential,4084,18,Suburban,Concrete,Flat,0,0,13300,50000000
Residential,2230,18,Urban,Slab,Dome,0,0,8400,50000000
Industrial,9073,10,Urban,Concrete,Dome,0,1,3200,50000000
Industrial,10936,2,Rural,Pile,Pitched,0,1,4000,47771282
Commercial,14981,6,Urban,Slab,Pitched,1,1,11800,50000000
Industrial,3121,13,Urban,Slab,Dome,1,1,6500,50000000
Commercial,3404,7,Suburban,Concrete,Flat,1,0,14300,50000000
Residential,2359,13,Rural,Slab,Dome,0,1,11800,50000000
Commercial,12237,19,Rural,Pile,Pitched,1,0,14900,50000000
Residential,2668,18,Urban,Pile,Flat,0,0,9400,50000000
Residential,6229,19,Suburban,Concrete,Pitched,1,0,3900,50000000
Commercial,539,10,Suburban,Concrete,Flat,0,1,7500,14845385
Industrial,12492,11,Urban,Slab,Flat,0,1,8300,50000000
Commercial,1468,20,Suburban,Pile,Flat,1,0,4800,50000000
Residential,12210,16,Rural,Concrete,Pitched,0,1,7600,50000000
Commercial,5449,4,Suburban,Concrete,Dome,0,1,7700,50000000
Residential,13093,5,Urban,Concrete,Flat,1,1,9800,50000000
Commercial,8140,17,Suburban,Concrete,Pitched,0,1,3700,50000000
Industrial,10858,13,Rural,Pile,Pitched,0,1,9600,50000000
Residential,5178,19,Suburban,Slab,Pitched,0,1,14900,50000000
Residential,10647,7,Rural,Pile,Flat,0,1,9000,50000000
Commercial,6810,16,Rural,Concrete,Flat,1,0,9100,50000000
Commercial,14900,10,Rural,Pile,Dome,0,1,10800,50000000
Industrial,2015,11,Urban,Concrete,Pitched,1,1,5700,50000000
Residential,7944,11,Suburban,Pile,Dome,1,1,5600,50000000
Industrial,14202,16,Urban,Slab,Pitched,0,1,3600,50000000
Industrial,14222,16,Urban,Concrete,Flat,1,1,5800,50000000
Commercial,2654,11,Urban,Slab,Pitched,0,1,12900,50000000
Residential,14498,10,Suburban,Slab,Dome,1,1,5500,50000000
Industrial,10434,16,Urban,Pile,Pitched,1,1,13700,50000000
Residential,4409,4,Urban,Concrete,Pitched,1,1,13700,50000000
Industrial,7734,4,Suburban,Pile,Pitched,1,0,12300,50000000
Residential,13536,1,Urban,Concrete,Dome,0,0,10100,33649349
Industrial,2118,16,Suburban,Concrete,Dome,0,1,4100,50000000
Industrial,14409,9,Suburban,Concrete,Dome,0,0,12500,50000000
Commercial,3464,18,Suburban,Pile,Dome,1,0,9300,50000000
Industrial,1904,20,Urban,Pile,Pitched,0,1,7700,50000000
Industrial,13649,12,Rural,Pile,Flat,0,0,11600,50000000
Industrial,5922,4,Rural,Pile,Pitched,0,1,4300,50000000
Commercial,9208,8,Rural,Slab,Dome,0,0,6600,50000000
Residential,1080,11,Rural,Concrete,Pitched,0,1,7000,33468592
Commercial,14338,5,Urban,Concrete,Dome,1,0,4200,50000000
Residential,14029,2,Suburban,Slab,Flat,0,1,5900,50000000
Residential,11478,19,Suburban,Pile,Dome,0,1,4100,50000000
Industrial,7268,7,Urban,Slab,Flat,0,1,6400,50000000
Industrial,6675,17,Urban,Pile,Pitched,0,0,13500,50000000
Commercial,3824,16,Suburban,Pile,Dome,0,1,9600,50000000
Commercial,6243,12,Rural,Pile,Flat,1,1,5500,50000000
Commercial,2967,1,Urban,Slab,Pitched,1,1,14300,15940810
Commercial,4726,18,Urban,Pile,Dome,0,1,12300,50000000
Industrial,10632,7,Rural,Concrete,Dome,1,1,10600,50000000
Industrial,14350,2,Urban,Slab,Dome,0,1,7700,50000000
Industrial,6230,17,Rural,Pile,Dome,1,0,7100,50000000
Residential,6229,3,Urban,Pile,Pitched,1,1,9100,40026332
Commercial,5252,11,Urban,Slab,Dome,0,0,6600,50000000
Industrial,4623,20,Rural,Pile,Dome,0,0,6600,50000000
Residential,697,3,Urban,Concrete,Dome,0,0,7900,6295367
Industrial,11072,8,Suburban,Slab,Dome,0,1,9500,50000000
Residential,13493,5,Urban,Slab,Dome,1,1,10300,50000000
Residential,8276,19,Urban,Concrete,Pitched,0,1,7500,50000000
Industrial,11843,13,Rural,Pile,Flat,0,1,6900,50000000
Commercial,14331,6,Rural,Pile,Pitched,0,1,13500,50000000
Industrial,13592,15,Urban,Concrete,Flat,0,1,5600,50000000
Commercial,4026,2,Rural,Pile,Dome,0,0,9000,23088029
Residential,9173,10,Urban,Slab,Dome,0,1,14000,50000000
Industrial,3712,14,Suburban,Concrete,Flat,1,1,5200,50000000
Commercial,1148,12,Urban,Pile,Flat,0,1,13600,47423132
Commercial,8081,14,Rural,Slab,Flat,0,1,4800,50000000
Residential,7025,9,Rural,Concrete,Flat,0,0,5000,50000000
Residential,1717,10,Urban,Concrete,Flat,0,1,14800,49360652
Industrial,2318,13,Rural,Concrete,Dome,0,0,12600,50000000
Residential,2518,3,Suburban,Slab,Flat,1,1,10600,18809173
Industrial,7258,20,Suburban,Pile,Flat,0,0,13600,50000000
Residential,8551,14,Suburban,Slab,Dome,1,1,4100,50000000
Residential,4034,3,Suburban,Pile,Dome,1,0,12400,33459825
Commercial,14157,7,Urban,Pile,Dome,0,1,5500,50000000
Residential,1246,12,Urban,Slab,Pitched,1,1,5000,31217186
Industrial,12157,8,Urban,Pile,Flat,1,1,12100,50000000
Residential,12348,9,Suburban,Concrete,Pitched,1,1,4000,50000000
Industrial,7060,18,Suburban,Slab,Flat,0,1,14900,50000000
Commercial,390,12,Suburban,Pile,Flat,1,1,9600,14707025
Industrial,1513,17,Rural,Pile,Dome,0,1,11700,50000000
Residential,563,10,Suburban,Concrete,Pitched,1,1,11300,14470015
Residential,6991,20,Urban,Pile,Dome,0,0,11900,50000000
Residential,10557,18,Rural,Slab,Pitched,1,1,4800,50000000
Industrial,5972,19,Rural,Slab,Flat,1,1,7300,50000000
Industrial,3846,14,Suburban,Concrete,Pitched,1,1,13500,50000000
Industrial,9206,2,Urban,Slab,Pitched,1,1,14500,50000000
Industrial,9839,14,Urban,Pile,Dome,0,1,9800,50000000
Industrial,7609,9,Rural,Pile,Flat,1,1,12900,50000000
